Namespace;Enumeration name;Enumeration literal;Designation;Definition;Origin;Original code
Vms;SupplementalPictogramEnum;snowPloughs;Snow ploughs;Snow ploughs.;;
Parking;SupplyViewTypeEnum;spaceView;Space view;Each space is physically marked and identifiable.;;
Parking;SupplyViewTypeEnum;vehicleView;Vehicle view;The vehicle capacity in an area is estimated based on calculating a capacity (i.e. curb length divided by a length of vehicle).   The distributing party decides on the appropriate length of vehicle to use.;;
RoadTrafficData;TimeMeaningEnum;beginTime;Begin time;Meaning the beginning of a period;;
RoadTrafficData;TimeMeaningEnum;endTime;End time;Meaning the end of a period;;
RoadTrafficData;TimeMeaningEnum;middleTime;Middle time;Meaning the mid-point of a period;;
Common;TimePrecisionEnum;halfHour;Half hour;Time given to the nearest half hour.;;
Common;TimePrecisionEnum;hour;Hour;Time given to the nearest hour.;;
Common;TimePrecisionEnum;minute;Minute;Time given to the nearest minute.;;
Common;TimePrecisionEnum;quarterHour;Quarter hour;Time given to the nearest quarter hour.;;
Common;TimePrecisionEnum;second;Second;Time given to the nearest second.;;
Common;TimePrecisionEnum;tenthsOfSecond;Tenths of second;Time given to the nearest tenth of a second.;;
LocationReferencing;TpegLoc01AreaLocationSubtypeEnum;largeArea;Large area;A geographic or geometric large area.;;
LocationReferencing;TpegLoc01AreaLocationSubtypeEnum;other;Other;Other than as defined in this enumeration.;;
LocationReferencing;TpegLoc01FramedPointLocationSubtypeEnum;framedPoint;Framed point;A point on the road network framed by two other points on the same road.;;
LocationReferencing;TpegLoc01LinearLocationSubtypeEnum;segment;Segment;A segment (or link) of the road network corresponding to the way in which the road operator has segmented the network.;;
LocationReferencing;TpegLoc01SimplePointLocationSubtypeEnum;intersection;Intersection;An point on the road network at which one or more roads intersect.;;
LocationReferencing;TpegLoc01SimplePointLocationSubtypeEnum;nonLinkedPoint;Non linked point;A point on the road network which is not at a junction or intersection.;;
LocationReferencing;TpegLoc03AreaDescriptorSubtypeEnum;administrativeAreaName;Administrative area name;Name of an administrative area.;;
LocationReferencing;TpegLoc03AreaDescriptorSubtypeEnum;administrativeReferenceName;Administrative reference name;Reference name by which administrative area is known.;;
LocationReferencing;TpegLoc03AreaDescriptorSubtypeEnum;areaName;Area name;Name of an area.;;
LocationReferencing;TpegLoc03AreaDescriptorSubtypeEnum;countyName;County name;Name of a county (administrative sub-division).;;
LocationReferencing;TpegLoc03AreaDescriptorSubtypeEnum;lakeName;Lake name;Name of a lake.;;
LocationReferencing;TpegLoc03AreaDescriptorSubtypeEnum;nationName;Nation name;Name of a nation (e.g. Wales) which is a sub-division of a ISO recognised country.;;
LocationReferencing;TpegLoc03AreaDescriptorSubtypeEnum;other;Other;Other than as defined in this enumeration.;;
LocationReferencing;TpegLoc03AreaDescriptorSubtypeEnum;policeForceControlAreaName;Police force control area name;Name of a police force control area.;;
LocationReferencing;TpegLoc03AreaDescriptorSubtypeEnum;regionName;Region name;Name of a geographic region.;;
LocationReferencing;TpegLoc03AreaDescriptorSubtypeEnum;seaName;Sea name;Name of a sea.;;
LocationReferencing;TpegLoc03AreaDescriptorSubtypeEnum;townName;Town name;Name of a town.;;
LocationReferencing;TpegLoc03IlcPointDescriptorSubtypeEnum;tpegIlcName1;TPEG ILC name 1;The name of the road on which the junction point is located.;;
LocationReferencing;TpegLoc03IlcPointDescriptorSubtypeEnum;tpegIlcName2;TPEG ILC name 2;The name of the first intersecting road at the junction.;;
LocationReferencing;TpegLoc03IlcPointDescriptorSubtypeEnum;tpegIlcName3;TPEG ILC name 3;The name of the second intersecting road (if one exists) at the junction.;;
LocationReferencing;TpegLoc03JunctionPointDescriptorSubtypeEnum;junctionName;Junction name;Name of a road network junction where two or more roads join.;;
LocationReferencing;TpegLoc03OtherPointDescriptorSubtypeEnum;administrativeAreaName;Administrative area name;Name of an administrative area.;;
LocationReferencing;TpegLoc03OtherPointDescriptorSubtypeEnum;administrativeReferenceName;Administrative reference name;Reference name by which an administrative area is known.;;
LocationReferencing;TpegLoc03OtherPointDescriptorSubtypeEnum;airportName;Airport name;Name of an airport.;;
LocationReferencing;TpegLoc03OtherPointDescriptorSubtypeEnum;areaName;Area name;Name of an area.;;
LocationReferencing;TpegLoc03OtherPointDescriptorSubtypeEnum;buildingName;Building name;Name of a building.;;
LocationReferencing;TpegLoc03OtherPointDescriptorSubtypeEnum;busStopIdentifier;Bus stop identifier;Identifier of a bus stop on the road network.;;
LocationReferencing;TpegLoc03OtherPointDescriptorSubtypeEnum;busStopName;Bus stop name;Name of a bus stop on the road network.;;
LocationReferencing;TpegLoc03OtherPointDescriptorSubtypeEnum;canalName;Canal name;Name of a canal.;;
LocationReferencing;TpegLoc03OtherPointDescriptorSubtypeEnum;countyName;County name;Name of a county (administrative sub-division).;;
LocationReferencing;TpegLoc03OtherPointDescriptorSubtypeEnum;ferryPortName;Ferry port name;Name of a ferry port.;;
LocationReferencing;TpegLoc03OtherPointDescriptorSubtypeEnum;intersectionName;Intersection name;Name of a road network intersection.;;
LocationReferencing;TpegLoc03OtherPointDescriptorSubtypeEnum;lakeName;Lake name;Name of a lake.;;
LocationReferencing;TpegLoc03OtherPointDescriptorSubtypeEnum;linkName;Link name;Name of a road link.;;
LocationReferencing;TpegLoc03OtherPointDescriptorSubtypeEnum;localLinkName;Local link name;Local name of a road link.;;
LocationReferencing;TpegLoc03OtherPointDescriptorSubtypeEnum;metroStationName;Metro station name;Name of a metro/underground station.;;
LocationReferencing;TpegLoc03OtherPointDescriptorSubtypeEnum;nationName;Nation name;Name of a nation (e.g. Wales) which is a sub-division of a ISO recognised country.;;
LocationReferencing;TpegLoc03OtherPointDescriptorSubtypeEnum;nonLinkedPointName;Non linked point name;Name of a point on the road network which is not at a junction or intersection. ;;
LocationReferencing;TpegLoc03OtherPointDescriptorSubtypeEnum;other;Other;Other than as defined in this enumeration.;;
LocationReferencing;TpegLoc03OtherPointDescriptorSubtypeEnum;parkingFacilityName;Parking facility name;Name of a parking facility.;;
LocationReferencing;TpegLoc03OtherPointDescriptorSubtypeEnum;pointName;Point name;Name of a specific point.;;
LocationReferencing;TpegLoc03OtherPointDescriptorSubtypeEnum;pointOfInterestName;Point of interest name;Name of a general point of interest.;;
LocationReferencing;TpegLoc03OtherPointDescriptorSubtypeEnum;railwayStation;Railway station;Name of a railway station.;;
LocationReferencing;TpegLoc03OtherPointDescriptorSubtypeEnum;regionName;Region name;Name of a geographic region.;;
LocationReferencing;TpegLoc03OtherPointDescriptorSubtypeEnum;riverName;River name;Name of a river.;;
LocationReferencing;TpegLoc03OtherPointDescriptorSubtypeEnum;seaName;Sea name;Name of a sea.;;
LocationReferencing;TpegLoc03OtherPointDescriptorSubtypeEnum;serviceAreaName;Service area name;Name of a service area on a road network.;;
LocationReferencing;TpegLoc03OtherPointDescriptorSubtypeEnum;tidalRiverName;Tidal river name;Name of a river which is of a tidal nature.;;
LocationReferencing;TpegLoc03OtherPointDescriptorSubtypeEnum;townName;Town name;Name of a town.;;
LocationReferencing;TpegLoc04HeightTypeEnum;above;Above;Height above specified location.;;
LocationReferencing;TpegLoc04HeightTypeEnum;aboveSeaLevel;Above sea level;Height above mean sea high water level.;;
LocationReferencing;TpegLoc04HeightTypeEnum;aboveStreetLevel;Above street level;Height above street level.;;
LocationReferencing;TpegLoc04HeightTypeEnum;at;at;At height of specified location.;;
LocationReferencing;TpegLoc04HeightTypeEnum;atSeaLevel;At sea level;At mean sea high water level.;;
LocationReferencing;TpegLoc04HeightTypeEnum;atStreetLevel;At street level;At street level.;;
LocationReferencing;TpegLoc04HeightTypeEnum;below;Below;Height below specified location.;;
LocationReferencing;TpegLoc04HeightTypeEnum;belowSeaLevel;Below sea level;Height below mean sea high water level.;;
LocationReferencing;TpegLoc04HeightTypeEnum;belowStreetLevel;Below street level;Height below street level.;;
LocationReferencing;TpegLoc04HeightTypeEnum;other;Other;Other than as defined in this enumeration.;;
LocationReferencing;TpegLoc04HeightTypeEnum;undefined;Undefined;Undefined height reference.;;
LocationReferencing;TpegLoc04HeightTypeEnum;unknown;Unknown;Unknown height reference.;;
Situation;TrafficConstrictionTypeEnum;carriagewayBlocked;Carriageway blocked;The carriageway is totally obstructed in the specified direction due to an unplanned event.;;
Situation;TrafficConstrictionTypeEnum;carriagewayPartiallyObstructed;Carriageway partially obstructed;The carriageway is partially obstructed in the specified direction due to an unplanned event.;;
Situation;TrafficConstrictionTypeEnum;lanesBlocked;Lanes blocked;One or more lanes is totally obstructed in the specified direction due to an unplanned event.;;
Situation;TrafficConstrictionTypeEnum;lanesPartiallyObstructed;Lanes partially obstructed;One or more lanes is partially obstructed in the specified direction due to an unplanned event.;;
Situation;TrafficConstrictionTypeEnum;roadBlocked;Road blocked;The road is totally obstructed, for all vehicles in both directions, due to an unplanned event.;;
Situation;TrafficConstrictionTypeEnum;roadPartiallyObstructed;Road partially obstructed;The road is partially obstructed in both directions due to an unplanned event.;;
Situation;TrafficFlowCharacteristicsEnum;erraticFlow;Erratic flow;Traffic flow is of an irregular nature, subject to sudden changes in rates.;;
Situation;TrafficFlowCharacteristicsEnum;smoothFlow;Smooth flow;Traffic flow is smooth.;;
Situation;TrafficFlowCharacteristicsEnum;stopAndGo;Stop and go;Traffic flow is of a stop and go nature with queues forming and ending continuously on the specified section of road.;;
Situation;TrafficFlowCharacteristicsEnum;trafficBlocked;Traffic blocked;Traffic is blocked at the specified location and in the specified direction due to an unplanned event.;;
RoadTrafficData;TrafficStatusEnum;freeFlow;Free flow;Traffic at the specified location is free-flowing.;;
RoadTrafficData;TrafficStatusEnum;heavy;Heavy;Traffic in the specified direction is heavier than usual making driving conditions more difficult than normal.;;
RoadTrafficData;TrafficStatusEnum;other;Other;Other than as defined in this enumeration.;;
RoadTrafficData;TrafficStatusEnum;queuing;Queuing;Traffic is queuing at the specified location, although there is still some traffic movement (i.e. average speed is between 10% and 25% of its free-flow level).;;
RoadTrafficData;TrafficStatusEnum;slow;Slow;Traffic is slow moving at the specified location, but not yet forming queues (i.e. average speed is between 25% and 75% of its free-flow level).;;
RoadTrafficData;TrafficStatusEnum;stationary;Stationary;Traffic is stationary, or very near stationary, at the specified location (i.e. average speed is less than 10% of its free-flow level).;;
RoadTrafficData;TrafficStatusEnum;unknown;Unknown;Traffic conditions are unknown.;;
RoadTrafficData;TrafficStatusEnum;unspecifiedAbnormal;Unspecified abnormal;There are abnormal traffic conditions of an unspecified nature at the specified location.;;
Common;TrafficTrendTypeEnum;trafficBuildingUp;Traffic building up;Traffic conditions are changing from free-flow to heavy or slow service levels.  Queues may also be expected.;;
Common;TrafficTrendTypeEnum;trafficEasing;Traffic easing;Traffic conditions are changing from heavy or slow service levels to free-flow.;;
Common;TrafficTrendTypeEnum;trafficStable;Traffic stable;Traffic conditions are currently stable.;;
Common;TrafficTrendTypeEnum;unknown;Unknown;The trend of traffic conditions is currently unknown.;;
Situation;TrafficTypeEnum;accessOnlyTraffic;Access only traffic;Traffic destined for local access only.;;
Situation;TrafficTypeEnum;destinedForAirport;Destined for airport;Traffic destined for the airport.;;
Situation;TrafficTypeEnum;destinedForAirportArrivals;Destined for airport arrivals;Traffic destined for airport arrivals.;;
Situation;TrafficTypeEnum;destinedForAirportDepartures;Destined for airport departures;Traffic destined for airport departures.;;
Situation;TrafficTypeEnum;destinedForFerryService;Destined for ferry service;Traffic destined for the ferry service.;;
Situation;TrafficTypeEnum;destinedForRailService;Destined for rail service;Traffic destined for the rail service.;;
Situation;TrafficTypeEnum;holidayTraffic;Holiday traffic;Traffic heading towards holiday destinations.;;
Situation;TrafficTypeEnum;localTraffic;Local traffic;Traffic heading towards local destinations.;;
Situation;TrafficTypeEnum;longDistanceTraffic;Long distance traffic;Traffic heading towards destinations which are a long distance away.;;
Situation;TrafficTypeEnum;regionalTraffic;Regional traffic;Traffic heading towards local regional destinations.;;
Situation;TrafficTypeEnum;residentsOnlyTraffic;Residents only traffic;Local residents only traffic.;;
Situation;TrafficTypeEnum;throughTraffic;Through traffic;Traffic which is not for local access, i.e. traffic not destined for local town, city or built up area but for transit though the area.;;
Situation;TrafficTypeEnum;visitorTraffic;Visitor traffic;Traffic heading towards local visitor attraction.;;
Situation;TransitServiceInformationEnum;cancellations;Cancellations;Public transport, park-and-ride, rail or bus services are cancelled.;;
Situation;TransitServiceInformationEnum;delayDueToBadWeather;Delay due to bad weather;The specified service is delayed due to bad weather.;;
Situation;TransitServiceInformationEnum;delayDueToRepairs;Delay due to repairs;The specified service is delayed due to the need for repairs.;;
Situation;TransitServiceInformationEnum;delayedUntilFurtherNotice;Delayed until further notice;The specified public transport service will be delayed until further notice.;;
Situation;TransitServiceInformationEnum;delaysDueToFlotsam;Delays due to flotsam;The departure of the specified ferry service is delayed due to flotsam.;;
Situation;TransitServiceInformationEnum;departureOnSchedule;Departure on schedule;The departure of the specified service is on schedule.;;
Situation;TransitServiceInformationEnum;ferryReplacedByIceRoad;Ferry replaced by ice road;The ferry service has been replaced by an ice road.;;
Situation;TransitServiceInformationEnum;freeShuttleServiceOperating;Free shuttle service operating;A shuttle service is operating at no charge between specified locations.;;
Situation;TransitServiceInformationEnum;informationServiceNotAvailable;Information service not available;The information service relating to the specified transport system is not currently available.;;
Situation;TransitServiceInformationEnum;irregularServiceDelays;Irregular service delays;The specified service is subject to irregular delays.;;
Situation;TransitServiceInformationEnum;loadCapacityChanged;Load capacity changed;The load capacity for the specified service has been changed.;;
Situation;TransitServiceInformationEnum;other;Other;Other than as defined in this enumeration.;;
Situation;TransitServiceInformationEnum;restrictionsForLongerVehicles;Restrictions for longer vehicles;Long vehicles are subject to restrictions on the specified service.;;
Situation;TransitServiceInformationEnum;serviceDelays;Service delays;The specified service is subject to delays.;;
Situation;TransitServiceInformationEnum;serviceDelaysOfUncertainDuration;Service delays of uncertain duration;The specified service is subject to delays whose predicted duration cannot be estimated accurately.;;
Situation;TransitServiceInformationEnum;serviceFullyBooked;Service fully booked;The departure of the specified service is fully booked.;;
Situation;TransitServiceInformationEnum;serviceNotOperating;Service not operating;The specified service is not operating.;;
Situation;TransitServiceInformationEnum;serviceNotOperatingSubstituteServiceAvailable;Service not operating substitute service available;The specified service is not operating but an alternative service is available.;;
Situation;TransitServiceInformationEnum;serviceSuspended;Service suspended;The specified service has been suspended.;;
Situation;TransitServiceInformationEnum;serviceWithdrawn;Service withdrawn;The specified service has been cancelled.;;
Situation;TransitServiceInformationEnum;shuttleServiceOperating;Shuttle service operating;A shuttle service is operating between the specified locations.;;
Situation;TransitServiceInformationEnum;temporaryChangesToTimetables;Temporary changes to timetables;The timetable for the specified service is subject to temporary changes.;;
Situation;TransitServiceTypeEnum;air;Air;Air service.;;
Situation;TransitServiceTypeEnum;bus;Bus;Bus service.;;
Situation;TransitServiceTypeEnum;ferry;Ferry;Ferry service.;;
Situation;TransitServiceTypeEnum;hydrofoil;Hydrofoil;Hydrofoil service.;;
Situation;TransitServiceTypeEnum;rail;Rail;Rail service.;;
Situation;TransitServiceTypeEnum;tram;Tram;Tram service.;;
Situation;TransitServiceTypeEnum;undergroundMetro;Underground metro;Underground or metro service.;;
RoadTrafficData;TravelTimeTrendTypeEnum;decreasing;Decreasing;Travel times are decreasing.;;
RoadTrafficData;TravelTimeTrendTypeEnum;increasing;Increasing;Travel times are increasing.;;
RoadTrafficData;TravelTimeTrendTypeEnum;stable;Stable;Travel times are stable.;;
RoadTrafficData;TravelTimeTypeEnum;best;Best;Travel time is derived from the best out of a monitored sample.;;
RoadTrafficData;TravelTimeTypeEnum;estimated;Estimated;Travel time is an automated estimate.;;
RoadTrafficData;TravelTimeTypeEnum;instantaneous;Instantaneous;Travel time is derived from instantaneous measurements.;;
RoadTrafficData;TravelTimeTypeEnum;predictor;Predictor;Travel time is the output of a predictor, for example a blend of current and historical data, or a traffic flow model using current measurements.;;
RoadTrafficData;TravelTimeTypeEnum;profile;Profile;Travel time is based on past observations, without use of current measurements.;;
RoadTrafficData;TravelTimeTypeEnum;reconstituted;Reconstituted;Travel time is reconstituted from other measurements.;;
RoadTrafficData;TravelTimeTypeEnum;sum;Sum;Travel time is the sum of current travel times on subsections of the specified location.;;
Parking;TruckParkingDynamicManagementEnum;compactParking;Compact parking;Lorries are parking one after the other in different lanes; each lane has a dedicated time of departure (which might be displayed on a sign gantry).;;
Parking;TruckParkingDynamicManagementEnum;noDynamicParkingManagement;No dynamic parking management;No dynamic parking management.;;
Parking;TruckParkingDynamicManagementEnum;other;Other;Some other type of dynamic parking management.;;
Parking;TruckParkingDynamicManagementEnum;queueParking;Queue parking;Lorries are parking in queues, one after the other. Each lorry must have an earlier time of departure than all the lorries behind it.;;
Vms;UnitOfMeasureEnum;feet;Feet;The imperial unit feet;;
Vms;UnitOfMeasureEnum;feetAndInches;Feet and inches;The imperial units feet and inches;;
Vms;UnitOfMeasureEnum;kilometres;Kilometres;The metric unit kilometres;;
Vms;UnitOfMeasureEnum;kilometresPerHour;Kilometres per hour;The unit kilometres per hour;;
Vms;UnitOfMeasureEnum;metres;Metres;The metric unit metres;;
Vms;UnitOfMeasureEnum;miles;Miles;The imperial unit miles;;
Vms;UnitOfMeasureEnum;milesPerHour;Miles per hour;The unit miles per hour;;
Vms;UnitOfMeasureEnum;percentage;Percentage;A percentage;;
Vms;UnitOfMeasureEnum;tonnes;Tonnes;The metric unit tonnes;;
Vms;UnitOfMeasureEnum;yards;Yards;The imperial unit yards;;
Common;UrlLinkTypeEnum;documentPdf;Document PDF;URL link to a pdf document.;;
Common;UrlLinkTypeEnum;html;HTML;URL link to an html page.;;
Common;UrlLinkTypeEnum;image;Image;URL link to an image.;;
Common;UrlLinkTypeEnum;other;Other;Other than as defined in this enumeration.;;
Common;UrlLinkTypeEnum;rss;RSS;URL link to an RSS feed.;;
Common;UrlLinkTypeEnum;videoStream;Video stream;URL link to a video stream.;;
Common;UrlLinkTypeEnum;voiceStream;Voice stream;URL link to a voice stream.;;
Facilities;UserTypeEnum;allUsers;All users;All users.;;
Facilities;UserTypeEnum;commuters;Commuters;Commuters.;;
Facilities;UserTypeEnum;customers;Customers;Customers.;;
Facilities;UserTypeEnum;elderlyUsers;Elderly users;Elderly users.;;
Facilities;UserTypeEnum;employees;Employees;Employees.;;
Facilities;UserTypeEnum;families;Families;Families.;;
Facilities;UserTypeEnum;hearingImpaired;Hearing impaired;People with hearing loss;;
Facilities;UserTypeEnum;hotelGuests;Hotel guests;Hotel guests.;;
Facilities;UserTypeEnum;longTermParkers;Long term parkers;Long-term parker.;;
Facilities;UserTypeEnum;members;Members;Members.;;
Facilities;UserTypeEnum;men;Men;Men.;;
Facilities;UserTypeEnum;other;Other;Other.;;
Facilities;UserTypeEnum;overnightParkers;Overnight parkers;Overnight parker.;;
Facilities;UserTypeEnum;parkAndCycleUser;Park and cycle user;Park and cycle user.;;
Facilities;UserTypeEnum;parkAndRideUsers;Park and ride users;Users that are exchanging into public transport at a park and ride station.;;
Facilities;UserTypeEnum;parkAndWalkUser;Park and walk user;Park and walk user.;;
Facilities;UserTypeEnum;pensioners;Pensioners;Pensioners.;;
Facilities;UserTypeEnum;personsWithDisabilities;Persons with disabilities;Persons with disabilities;;
Facilities;UserTypeEnum;pregnantWomen;Pregnant women;Pregnant women.;;
Facilities;UserTypeEnum;registeredDisabledUsers;Registered disabled users;Registered disabled persons.;;
Facilities;UserTypeEnum;reservationHolders;Reservation holders;Those who have a valid reservation, e.g. for the duration of parking.;;
Facilities;UserTypeEnum;residents;Residents;Local residents.;;
Facilities;UserTypeEnum;seasonTicketHolders;Season ticket holders;Season ticket holders.;;
Facilities;UserTypeEnum;shoppers;Shoppers;Shoppers.;;
Facilities;UserTypeEnum;shortTermParkers;Short term parkers;Short-term parker.;;
Facilities;UserTypeEnum;sportEventAwaySupporters;Sport event away supporters;Sport event away supporters.;;
Facilities;UserTypeEnum;sportEventHomeSupporters;Sport event home supporters;Sport event home supporters.;;
Facilities;UserTypeEnum;staff;Staff;Staff.;;
Facilities;UserTypeEnum;students;Students;Students.;;
Facilities;UserTypeEnum;subscribers;Subscribers;Subscribers.;;
Facilities;UserTypeEnum;unknown;Unknown;Unknown.;;
Facilities;UserTypeEnum;visitors;Visitors;Visitors.;;
Facilities;UserTypeEnum;visuallyImpaired;Visually impaired;People with vision impairment;;
Facilities;UserTypeEnum;wheelchairUsers;Wheelchair users;Wheelchair users.;;
Facilities;UserTypeEnum;women;Women;Women.;;
Common;ValidityStatusEnum;active;Active;The described event, action or item is currently active regardless of the definition of the validity time specification.;;
Common;ValidityStatusEnum;definedByValidityTimeSpec;Defined by validity time spec;The validity status of the described event, action or item is in accordance with the definition of the validity time specification.;;
Common;ValidityStatusEnum;planned;Planned;The described event, action or item is currently planned regardless of the definition of the validity time specification.;;
Common;ValidityStatusEnum;suspended;Suspended;The described event, action or item is currently suspended, that is inactive, regardless of the definition of the validity time specification.;;
Common;VehicleEquipmentEnum;notUsingSnowChains;Not using snow chains;Vehicle not using snow chains.;;
Common;VehicleEquipmentEnum;notUsingSnowChainsOrTyres;Not using snow chains or tyres;Vehicle not using either snow tyres or snow chains.;;
Common;VehicleEquipmentEnum;snowChainsInUse;Snow chains in use;Vehicle using snow chains.;;
Common;VehicleEquipmentEnum;snowChainsOrTyresInUse;Snow chains or tyres in use;Vehicle using snow tyres or snow chains.;;
Common;VehicleEquipmentEnum;snowTyresInUse;Snow tyres in use;Vehicle using snow tyres.;;
Common;VehicleEquipmentEnum;withoutSnowTyresOrChainsOnBoard;Without snow tyres or chains on board;Vehicle which is not carrying on board snow tyres or chains.;;
Situation;VehicleObstructionTypeEnum;abandonedVehicle;Abandoned vehicle;Abandoned vehicle(s) on the roadway which may cause traffic disruption.;;
Situation;VehicleObstructionTypeEnum;abnormalLoad;Abnormal load;Vehicle(s) carrying exceptional load(s) which may cause traffic disruption.;;
Situation;VehicleObstructionTypeEnum;brokenDownVehicle;Broken down vehicle;Broken down vehicle(s) on the carriageway which may cause traffic disruption.;;
Situation;VehicleObstructionTypeEnum;convoy;Convoy;A group of vehicles moving together in formation which may cause traffic disruption.;;
Situation;VehicleObstructionTypeEnum;damagedVehicle;Damaged vehicle;Damaged vehicle(s) on the carriageway which may cause traffic disruption.;;
Situation;VehicleObstructionTypeEnum;dangerousSlowMovingVehicle;Dangerous slow moving vehicle;Dangerous slow moving vehicles which may cause traffic disruption.;;
Situation;VehicleObstructionTypeEnum;emergencyVehicle;Emergency vehicle;Emergency service vehicles on the roadway in response to an emergency situation.;;
Situation;VehicleObstructionTypeEnum;highSpeedChase;High speed chase;Authorised and unauthorised vehicles are travelling at high speeds along the roadway.  This may present a hazard to other vehicles.;;
Situation;VehicleObstructionTypeEnum;highSpeedEmergencyVehicle;High speed emergency vehicle;Emergency service vehicles progressing at high speed along the roadway in response to or en route from an emergency situation.;;
Situation;VehicleObstructionTypeEnum;longLoad;Long load;A vehicle of length greater than that normally allowed which may cause traffic disruption.;;
Situation;VehicleObstructionTypeEnum;medicalEmergency;Medical emergency;Vehicle has stopped due a medical issue of a driver or passenger;;
Situation;VehicleObstructionTypeEnum;militaryConvoy;Military convoy;A group of military vehicles moving together in formation which may cause traffic disruption.;;
Situation;VehicleObstructionTypeEnum;other;Other;Other than as defined in this enumeration.;;
Situation;VehicleObstructionTypeEnum;overheightVehicle;Overheight vehicle;Vehicles of height greater than normally allowed which may cause traffic disruption.;;
Situation;VehicleObstructionTypeEnum;prohibitedVehicleOnTheRoad;Prohibited vehicle on the road;Vehicles not normally permitted on the motorway are present which may cause traffic disruption.;;
Situation;VehicleObstructionTypeEnum;recklessDriver;Reckless driver;A vehicle being driven without due care and attention is causing a hazard to other vehicles.;;
Situation;VehicleObstructionTypeEnum;slowVehicle;Slow vehicle;A vehicle travelling at well below normal highway speeds which may cause traffic disruption.;;
Situation;VehicleObstructionTypeEnum;specialPermitTransport;Special permit transport;Special type of load or vehicle size, or even speed, that is allowed on the road only with special permission. The presence of this transport may cause traffic disruption.;;
Situation;VehicleObstructionTypeEnum;trackedVehicle;Tracked vehicle;Carterpillar tracked vehicles are in use which may cause traffic disruption.;;
Situation;VehicleObstructionTypeEnum;unlitVehicleOnTheRoad;Unlit vehicle on the road;Vehicles without lights are in use which may present a hazard to road users.;;
Situation;VehicleObstructionTypeEnum;vehicleCarryingHazardousMaterials;Vehicle carrying hazardous materials;Vehicles carrying materials of a hazardous nature are present and these could expose road users to additional hazards.;;
Situation;VehicleObstructionTypeEnum;vehicleInDifficulty;Vehicle in difficulty;A vehicle is experiencing difficulties (e.g. manoeuvring or propulsion difficulties) which may cause traffic disruption.;;
Situation;VehicleObstructionTypeEnum;vehicleOnFire;Vehicle on fire;A vehicle is or has been on fire and may cause traffic disruption.;;
Situation;VehicleObstructionTypeEnum;vehicleOnWrongCarriageway;Vehicle on wrong carriageway;A vehicle is travelling the wrong way along a divided highway (i.e. on the wrong side).;;
Situation;VehicleObstructionTypeEnum;vehicleStuck;Vehicle stuck;One or more vehicles are stuck (i.e. unable to move) due to environmental conditions such as a snow drift or severe icy road.;;
Situation;VehicleObstructionTypeEnum;vehicleWithOverheightLoad;Vehicle with overheight load;An over-height vehicle which may present a hazard to road users.;;
Situation;VehicleObstructionTypeEnum;vehicleWithOverwideLoad;Vehicle with overwide load;A vehicle of width greater than that normally allowed which may cause traffic disruption.;;
Situation;VehicleObstructionTypeEnum;winterMaintetanceVehicleInTransfer;Winter maintetance vehicle in transfer;Winter maintenance vehicle is on the road, not doing its specific work. Its presence may cause traffic disruption.;;
Situation;VehicleProblemCauseEnum;airSystem;Air system;Problem with the air system of a vehicle;;
Situation;VehicleProblemCauseEnum;battery;Battery;Problem with the battery of a vehicle;;
Situation;VehicleProblemCauseEnum;brakingSystem;Braking system;Problem with the braking system of a vehicle;;
Situation;VehicleProblemCauseEnum;coolingSystem;Cooling system;Problem with the cooling system of a vehicle;;
Situation;VehicleProblemCauseEnum;decoupledTrailer;Decoupled trailer;Problem with the coupling of a trailer;;
Situation;VehicleProblemCauseEnum;diverProblem;Diver problem;Problem with a vehicle driver;;
Situation;VehicleProblemCauseEnum;electricalSystem;Electrical system;Problem with the electrical system of a vehicle;;
Situation;VehicleProblemCauseEnum;flatTyre;Flat tyre;Vehicle has one or more flat tyres;;
Situation;VehicleProblemCauseEnum;fuelSystem;Fuel system;Problem with the fuel system of a vehicle;;
Situation;VehicleProblemCauseEnum;gear;Gear;Problem with the gears of a vehicle;;
Situation;VehicleProblemCauseEnum;loadProblem;Load problem;Problem with the load of a vehicle;;
Situation;VehicleProblemCauseEnum;lostWheel;Lost wheel;Vehicle has lost a wheel;;
Situation;VehicleProblemCauseEnum;motorMechanics;Motor mechanics;Problem with the motor mechanics of a vehicle;;
Situation;VehicleProblemCauseEnum;oilLeakage;Oil leakage;Vehicle has an oil leak;;
Situation;VehicleProblemCauseEnum;other;Other;Other vehicle problem source;;
Situation;VehicleProblemCauseEnum;suspension;Suspension;Problem with the suspension of a vehicle;;
Situation;VehicleProblemCauseEnum;unknown;Unknown;Unknown vehicle problem source;;
Common;VehicleStatusEnum;abandoned;Abandoned;Abandoned vehicle.;;
Common;VehicleStatusEnum;brokenDown;Broken down;Broken down vehicle (i.e. it is immobile due to mechanical breakdown).;;
Common;VehicleStatusEnum;burntOut;Burnt out;Burnt out vehicle, but fire is extinguished.;;
Common;VehicleStatusEnum;damaged;Damaged;Vehicle is damaged following an incident or collision. It may be able or not to move by itself.;;
Common;VehicleStatusEnum;damagedAndImmobilized;Damaged and immobilized;Vehicle is damaged following an incident or collision. It is immobilized and therefore needs assistance to be moved.;;
Common;VehicleStatusEnum;inDitch;In ditch;Vehicle has left roadway and ended in a ditch next to the roadway;;
Common;VehicleStatusEnum;jacknifed;Jacknifed;The pulling vehicle is in a jackknifed position with its trailer;;
