Namespace;Enumeration name;Definition
Situation;RoadOrCarriagewayOrLaneManagementTypeEnum;Management actions relating to road, carriageway or lane usage.
Situation;RoadsideAssistanceTypeEnum;Types of road side assistance.
Parking;RoadTypeEnum;Categorisation of the  road type (motorway,main road,...).
Situation;RoadworksDurationEnum;Expected durations of roadworks in general terms.
Situation;RoadworksScaleEnum;Grade of complexity of the roadworks according to the responsible road operator. For example determined by size, duration and/or traffic disruption.
Situation;ServiceDisruptionTypeEnum;Types of disruption to services relevant to road users.
EnergyInfrastructure;ServiceTypeEnum;A table of different service levels to be expected for fuelling/charging and payment.
Parking;SessionActivationModeEnum;Modes or credentials that can be used to activate a parking session or other operation (delivery, loading, etc).
Vms;SettingReasonEnum;Coded reasons why a message has been selected for display on the sign.
Situation;SeverityEnum;Levels of severity of a situation as whole assessed by the impact that the situation may have on traffic flow as perceived by the supplier.
Common;SourceTypeEnum;Type of sources from which situation information may be derived.
Common;SpecialDayTypeEnum;Collection of special types of days.
Parking;SpecialLocationEnum;Types of locations, often associated with some building.
Situation;SpeedManagementTypeEnum;Management actions relating to speed.
Parking;StaffEnum;A list of supported values for staffing characteristics.
Parking;StructureGradeEnum;Types of layout of the parking site.
Parking;StructureTypeEnum;A list of types of parking structure.
LocationReferencing;SubdivisionTypeEnum;ISO 3166-2 subdivison types.
Situation;SubjectTypeOfWorksEnum;Subject types of construction or maintenance work.
Vms;SupplementalPictogramEnum;Types of pictograms displayable in supplementary panels (normally below the main pictogram display which it qualifies).
Parking;SupplyViewTypeEnum;Define if space quantity is demarcated or estimated.
RoadTrafficData;TimeMeaningEnum;Explains the meaning of a specific time value with respect to a time period
Common;TimePrecisionEnum;List of precisions to which times can be given.
LocationReferencing;TpegLoc01AreaLocationSubtypeEnum;Types of area.
LocationReferencing;TpegLoc01FramedPointLocationSubtypeEnum;Types of points on the road network framed by two other points on the same road.
LocationReferencing;TpegLoc01LinearLocationSubtypeEnum;Types of linear location.
LocationReferencing;TpegLoc01SimplePointLocationSubtypeEnum;Types of simple point.
LocationReferencing;TpegLoc03AreaDescriptorSubtypeEnum;Descriptors for describing area locations.
LocationReferencing;TpegLoc03IlcPointDescriptorSubtypeEnum;Descriptors for describing a junction by identifying the intersecting roads at a road junction.
LocationReferencing;TpegLoc03JunctionPointDescriptorSubtypeEnum;Descriptors for describing a point at a road junction.
LocationReferencing;TpegLoc03OtherPointDescriptorSubtypeEnum;Descriptors other than junction names and road descriptors which can help to identify the location of points on the road network.
LocationReferencing;TpegLoc04HeightTypeEnum;Types of height.
Situation;TrafficConstrictionTypeEnum;Types of constriction to which traffic is subjected as a result of an event.
Situation;TrafficFlowCharacteristicsEnum;Types of consistency (steadiness) of traffic flow.
RoadTrafficData;TrafficStatusEnum;List of terms used to describe traffic conditions.
Common;TrafficTrendTypeEnum;List of terms used to describe the trend in traffic conditions.
Situation;TrafficTypeEnum;Types of traffic, mostly classified by its destination type.
Situation;TransitServiceInformationEnum;Types of public transport information.
Situation;TransitServiceTypeEnum;Types of transport services available to the general public.
RoadTrafficData;TravelTimeTrendTypeEnum;List of terms used to describe the trend in travel times.
RoadTrafficData;TravelTimeTypeEnum;List of ways in which travel times are derived.
Parking;TruckParkingDynamicManagementEnum;Dynamic parking mode enum.
Vms;UnitOfMeasureEnum;Identifies a unit of measure for a physical quantity
Common;UrlLinkTypeEnum;Types of URL links.
Facilities;UserTypeEnum;Types of different users, for example used in the context of parking.
Common;ValidityStatusEnum;Values of validity status that can be assigned to a described event, action or item.
